0,-0.52565,0.0,-0.033144
1,-0.52511,0.0,-0.033699
2,-0.52454,0.0,-0.034269
3,-0.52393,0.0,-0.034836
4,-0.52327,0.0,-0.035407
5,-0.52257,0.0,-0.035984
6,-0.52182,0.0,-0.036549
7,-0.52102,0.0,-0.037118
8,-0.52018,0.0,-0.037688
9,-0.51928,0.0,-0.038245
10,-0.51833,0.0,-0.038796
11,-0.51732,0.0,-0.039341
12,-0.51625,0.0,-0.039875
13,-0.51513,0.0,-0.040397
14,-0.51394,0.0,-0.040903
15,-0.5127,0.0,-0.04139
16,-0.51144,0.0,-0.041842
17,-0.51021,0.0,-0.042244
18,-0.50902,0.0,-0.042598
19,-0.50788,0.0,-0.042913
20,-0.50677,0.0,-0.043195
21,-0.50569,0.0,-0.043449
22,-0.50466,0.0,-0.043678
23,-0.50366,0.0,-0.043882
24,-0.5027,0.0,-0.044068
25,-0.50177,0.0,-0.044237
26,-0.50088,0.0,-0.04439
27,-0.50002,0.0,-0.044535
28,-0.4992,0.0,-0.044669
29,-0.4984,0.0,-0.044795
30,-0.49764,0.0,-0.044914
31,-0.52608,0.0,-0.03265
32,-0.52559,0.00042495,-0.033098
33,-0.525,0.00064212,-0.033629
34,-0.52437,0.00065316,-0.034202
35,-0.5237,0.00067317,-0.034782
36,-0.52299,0.00069587,-0.035373
37,-0.52224,0.00072354,-0.035967
38,-0.52144,0.0007549,-0.036572
39,-0.52059,0.00078049,-0.037163
40,-0.51969,0.00080977,-0.037762
41,-0.51875,0.0008442,-0.038385
42,-0.51774,0.00086835,-0.03897
43,-0.51666,0.00088604,-0.039524
44,-0.51552,0.00090075,-0.040057
45,-0.51431,0.00091397,-0.040582
46,-0.51304,0.00092467,-0.041083
47,-0.51175,0.00093337,-0.041548
48,-0.51051,0.00094279,-0.041969
49,-0.5093,0.00095118,-0.042341
50,-0.50813,0.00095565,-0.042661
51,-0.507,0.00096054,-0.04295
52,-0.5059,0.0009668,-0.0432
53,-0.50484,0.00096533,-0.043389
54,-0.50381,0.00096344,-0.043565
55,-0.50283,0.00096233,-0.043732
